Order,president,presMatch,HighApproval,LowApproval,HighLow,HighDisapp,Finalpoll,AvgAppr
45,Trump,,46,35,11,62,,40
44,Obama,Barack Obama,69,38,31,57,59,47.9
43,G W Bush,George W. Bush,90,25,65,71,34,49.4
42,Clinton,William J. Clinton,73,37,36,54,66,55.1
41,G H W Bush,George Bush,89,29,60,60,56,60.9
40,Reagan,Ronald Reagan,71,35,36,56,63,52.8
39,Carter,Jimmy Carter,74,28,46,59,34,45.5
38,Ford,Gerald R. Ford,70,36,34,46,53,47.2
37,Nixon,Richard M. Nixon,66,24,42,66,24,49.1
36,Johnson,Lyndon B. Johnson,79,34,45,52,49,55.1
35,Kennedy,John F. Kennedy,83,56,27,30,58,70.1
34,Eisenhower,Dwight D. Eisenhower,77,47,30,36,59,65
33,Truman,Harry S Truman,87,22,65,67,32,45.4
32,F D Roosevelt,Franklin D. Roosevelt,83,48,35,46,65,63
